First name,Name,CK section,Term 2011-2012,Term 2013-2016,Term 2017-2020,Scientific discipline,Affiliation
Ewa,Łojkowska,3,0,1,1,biochemia,Uniwersytet Gdański
Władysław,Łosiak,1,0,1,0,psychologia,Uniwersytet Jagielloński w Krakowie
Jerzy,Łukaszewicz,7,1,0,0,sztuki filmowe,Uniwersytet Śląski w Katowicach
Bogusław,Śliwerski,1,1,1,1,pedagogika,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie
Jacek,Śliwiński,6,0,1,0,budownictwa,Politechnika Krakowska im. Tadeusza Kościuszki
Andrzej,Świerniak,6,0,0,1,biocybernetyka i inżynieria biomedyczna,Politechnika Śląska
Eugeniusz,Świtoński,6,1,0,0,mechanika,Politechnika Śląska
Grzegorz,Świątek,5,0,0,1,matematyka,Politechnika Warszawska
Wojciech,Świątkiewicz,1,0,1,1,nauki o rodzinie,Uniwersytet Śląski w Katowicach
Ryszard,Źróbek,5,0,1,1,geodezja i kartografia,Uniwersytet Warmińsko-Mazurski w Olsztynie
Tadeusz,Żuchowski,1,0,0,1,historia sztuki,Uniwersytet im. Adama Mickiewicza w Poznaniu
Waldemar,Żukowski,3,1,0,0,ekologia,Uniwersytet im. Adama Mickiewicza w Poznaniu
